//プレミアム・パスポート　事業協賛店一覧,,20160104 
企業ID,店舗ID,店舗・施設名,郵便,住所,住所建物,緯度,経度,電話,FAX,URL,営業・利用可能時間,定休日,プレパス特典（協賛店のみ）
co101511,ofid0001,アイシティ金沢香林坊109店,920-0961,石川県金沢市香林坊2-1-1,　香林坊109　4Ｆ,36.5643813, 136.6532479,076-233-8222,076-233-7088,http://www.eyecity.jp,10：00〜20：00,年中無休（休館日を除く）,
co100790,ofid0001,アイ・アイ・ピー金沢　近岡校（NET24）,920-8217,石川県金沢市近岡町845-1,,36.6140818, 136.6316799,076-238-5446,076-238-5447,http://www.spacelan.ne.jp/~a.tokuno/,9:00〜20:00,毎週日曜日、祝日、年末、年始,
co100094,ofid0001,アイ愛能力開発研究所 EDUCARE,921-8034,石川県金沢市泉野町1丁目238-1,,36.5470771, 136.6558526,076-242-8686,076-242-8660,http://kosodate-web.com/educare/index.php,9:00〜19:00,日曜、祝日,
co101271,ofid0001,アカチャンホンポ金沢店,920-0333,石川県金沢市無量寺4丁目91-1,アピタタウン金沢ベイＤ棟,36.607449, 136.6084458,076-225-2555,076-225-2558,http://www.akachan.jp/,10:00〜21:00,,
co101361,ofid0001,アクアパーク　シオン,925-0154,石川県羽咋郡志賀町末吉新保向22-1,,37.0076317,136.7793613,0767-32-8555,0767-32-1118,http://www.shi-on.jp/index.html,温泉6:00-23:00　プール9:00-22:00,年中無休,
co101507,ofid0001,アコスコーポレーション（株）,920-0863,石川県金沢市玉川町17-8,,36.5705658, 136.6503606,076-255-2281,076-255-2282,,9：00〜19：00,不定休,
co100181,ofid0003,アサヒランドリー　ロッキー志賀の郷店,925-0154,石川県羽咋郡志賀町末吉鵜島3-1,,37.0082786, 136.7822568,0767-32-4025,,,9:00〜20:00,年中無休,
co100181,ofid0001,アサヒランドリー株式会社,929-2101,石川県七尾市川尻町ホ135-3,,37.0663495, 136.8998731,0767-68-2292,0767-68-2296,,8:00〜19:30,年中無休,
co101224,ofid0001,アスタリスク,920-0813,石川県金沢市御所町1丁目399番地,,36.5800261, 136.6944376,076-251-5545,076-251-5546,http://www.asteris-k.com/,9:00〜17:00,土、日、祝日,
co100089,ofid0001,アスワンホーム,921-8011,石川県金沢市入江2丁目26,,36.5656906, 136.6232208,076-291-3436,076-291-3433,,8:30〜19:00,毎週日曜日、年末、年始,
co638279,ofid0001,アップガレージ石川小松店,923-0034,石川県小松市長田町ロ35-1,,36.4222,136.4762,0761-48-4499,0761-48-4498,,10時から20時,毎週水曜日,
co101480,ofid0001,アップガレージ金沢店,921-8844,石川県野々市市堀内5-240,,36.5318419, 136.5993803,076-246-0116,076-246-0163,http://www.upgarage.com/upgarage/shop/1/105/,10時〜20時,毎週水曜日,
co101232,ofid0001,アパマンショップ　三口新町店　高山不動産,920-0944,石川県金沢市三口新町４丁目２番１号,,36.5444552, 136.6770487,076-264-8686,076-223-1247,http://www.takayama-f.co.jp/,平日9：00〜18：00、土9：00〜18：00、日祝10：00〜16：00,年末年始、ＧＷ、お盆など,
co100440,ofid0006,アパマンショップ　小松店,923-0801,石川県小松市園町ハ126番1,,36.4054781, 136.4591089,0761-20-2626,0761-21-2626,http://www.crasco.jp/,9:30〜18:00,毎週水曜日、年末年始、５月大型連休、夏季休暇,
co100440,ofid0002,アパマンショップ　石川県庁前店,920-0345,石川県金沢市藤江北4丁目274番地,,36.5911403, 136.6230339,076-266-0220,076-266-0770,http://www.crasco.jp/,9:30〜18:00,毎週水曜日、年末年始、５月大型連休、夏季休暇,
co100440,ofid0005,アパマンショップ　野々市駅前店,921-8807,石川県野々市市二日市町27街区10,,36.5390188, 136.5986109,076-294-0505,076-294-7575,http://www.crasco.jp/,9:30〜18:00,毎週水曜日、年末年始、５月大型連休、夏季休暇,
co100440,ofid0004,アパマンショップ　金沢けやき通り店,920-0024,石川県金沢市西念4-24-21,,36.5896462, 136.6321806,076-233-3010,076-233-3080,http://www.crasco.jp/store/keyaki.php,9:30〜18:00,毎週水曜日、年末年始、５月大型連休、夏季休暇,
co100440,ofid0003,アパマンショップ　金沢有松店,921-8161,石川県金沢市有松3丁目3-32,,36.5408191, 136.6397849,076-241-2121,076-241-0707,http://www.crasco.jp/store/arimatsu.php,9:30〜18:00,毎週水曜日、年末年始、５月大型連休、夏季休暇,
co100440,ofid0001,アパマンショップ　金沢駅前店,920-0853,石川県金沢市本町２丁目３番５号,,36.573907, 136.6501051,076-222-1133,076-222-4040,http://www.crasco.jp/,9:30〜18:00,年末年始、5月大型連休、夏季休暇,
co100704,ofid0001,アビオシティ加賀,922-0423,石川県加賀市作見町ル25-1,,36.31974, 136.3523258,0761-72-5811,0761-72-5812,,9：30〜20：00,年2回不定休,
co100669,ofid0001,アピタ　松任店,924-0817,石川県白山市幸明町280番地,,36.5158448,136.5769516,076-274-6611,076-274-6619,http://www.uny.co.jp/,9:00〜21:00,年2回　決算日に休業,
co100669,ofid0002,アピタ　金沢店,921-8022,石川県金沢市中村町10番20,,36.5595475, 136.6426504,076-226-3111,076-226-3119,http://www.uny.co.jp/,10:00〜21:00,年2回　決算日に休業,
co100052,ofid0001,アピナ野々市バッティングスタジアム,921-8816,石川県野々市市若松町5-5,,36.5366885, 136.6110737,076-248-8889,076-246-1789,http://www.kyowa-corp.co.jp/shop/17_01.cgi,10:00〜24:00,無し（年中無休）,
co100041,ofid0001,アメリカンスクエアマツヤ　イオンかほく店,929-1126,石川県かほく市内日角タ25,イオンかほくｼｮｯﾋﾟﾝｸﾞｾﾝﾀｰ1F,36.7090775, 136.7010694,076-289-1386,076-289-1112,http://www.jeansmatsuya.com,10:00〜22:00,年中無休,
co100041,ofid0004,アメリカンスクエアマツヤ　七尾店,926-0826,石川県七尾市飯川町イ２４,,37.0011834, 136.9353473,0767-57-3938,0767-57-3948,http://www.jeansmatsuya.com,11:00〜20:45,年中無休,
co100041,ofid0005,アメリカンスクエアマツヤ　小松店,923-0043,石川県小松市一針町ロ４２,,36.4228681, 136.4787794,0761-24-0677,0761-24-3730,http://www.jeansmatsuya.com,10:00〜21:45,年中無休,
co100041,ofid0002,アメリカンスクエアマツヤ　金沢店,920-0027,石川県金沢市駅西新町２−１７−１,,36.5957065, 136.6415799,076-261-6339,076-261-6433,http://www.jeansmatsuya.com,10:00〜21:45,年中無休,プレゼントラッピングは無料です。コーディネートに自信の無い方にはご予算に合わせて親切丁寧にアドバイスさせて頂きます。お支払方法は現金、クレジットカード、銀行のキャッシュカード、銀聯カード、クイックペイ、ID、各種金券がご利用いただけます。プレゼントにお困りの方には、マツヤ商品券も販売致しております。
co100041,ofid0003,アメリカンスクエアマツヤ　５０２,921-8164,石川県金沢市久安３−３６８,,36.5349557, 136.6321941,076-241-5077,076-242-1773,http://www.jeansmatsuya.com,10:00〜21:45,年中無休,
co101411,ofid0001,アルティジャーノ　金沢店,920-0345,石川県金沢市藤江北4-293,,36.5918707,136.6223589,076-268-0325,,,7:00〜20:00,無休,
co100185,ofid0002,アルビス　パレット店,920-0965,石川県金沢市笠舞1-23,,36.5458927,136.6766853,076-222-2291,076-234-8353,http://www.albis.co.jp/,10:00〜20:00,年始１月２日より（設備点検休館あり）,
co100185,ofid0011,アルビス　内灘店,920-0266,石川県河北郡内灘町大根布1-8-1,,36.6474527, 136.6463059,076-286-2311,076-286-2321,http://www.albis.co.jp/,10:00〜22:00,年始１月２日より年中無休,
co100185,ofid0017,アルビス　大友店,920-8222,石川県金沢市大友町13街区1番,,36.6029975,136.6291399,076-238-1800,,http://www.albis.co.jp/,10時00分から22時00分,年始1月2日より年中無休,
co100185,ofid0006,アルビス　安原中央店,920-0376,石川県金沢市福増町南1265,,36.5640377, 136.5822921,076-249-2460,076-249-1446,http://www.albis.co.jp/,10:00〜23:00,年始１月２日より年中無休,
co100185,ofid0010,アルビス　寺井店,923-1121,石川県能美市寺井町ロ90-1,,36.4431075,136.4903451,0761-57-8338,0761-57-8339,http://www.albis.co.jp/,10:00〜21:00,年始１月２日より年中無休,
co100185,ofid0014,アルビス　小松城南店,923-0026,石川県小松市下牧町己1街区1,,36.4095174, 136.4400270,0761-23-5500,0761-23-5539,http://www.albis.co.jp/,月〜土曜日10時00分から22時00分　日曜・祝日9時00分から22時00分,年始1月2日より年中無休,
co100185,ofid0018,アルビス　小松幸町店,923-0867,石川県小松市幸町3-118,,36.3916564,136.4514396,0761-22-8377,,http://www.albis.co.jp/,10:00〜22:00　土日祝日は9:00開店,年始1月2日より年中無休,
co100185,ofid0003,アルビス　杜の里店,920-1167,石川県金沢市もりの里3-170,,36.5599256, 136.6827619,076-260-7611,076-234-8481,http://www.albis.co.jp/,10:00〜24:00,年始１月２日より年中無休,
co100185,ofid0009,アルビス　泉が丘サンピア店,921-8173,石川県金沢市円光寺2-345,,36.5345007, 136.6491481,076-226-8201,076-226-8205,http://www.albis.co.jp/,10:00〜21:00,年始１月２日より年中無休,
co100185,ofid0012,アルビス　泉が丘中央店,921-8035,石川県金沢市泉が丘2丁目8-3,,36.5433246, 136.6471424,076-245-6100,076-245-6101,http://www.albis.co.jp/,10:00〜22:00,年始１月２日より年中無休,
co100185,ofid0019,アルビス　田上店,920-1151,石川県金沢市田上町56街区29番地,,36.5453991, 136.6915388,076-221-1120,,http://www.albis.co.jp/,10:00〜23:00　土日祝日は9:00開店,年始1月2日より年中無休,
co100185,ofid0020,アルビス　畝田店,920-0342,石川県金沢市畝田西3丁目603番地,,36.5960949, 136.6059576,076-268-5550,,http://www.albis.co.jp/,10:00〜22:00　土日祝日は9:00開店,年始1月2日より年中無休年始1月2日より年中無休,
co100185,ofid0015,アルビス　羽咋宝達志水店,929-1421,石川県羽咋郡宝達志水町二口へ７番,,36.8907245, 136.7991136,0767-29-8100,,http://www.albis.co.jp/,10:00〜21:00,年始１月２日より年中無休,
co100185,ofid0021,アルビス　西南部店,921-8063,石川県金沢市八日市出町822,,36.5546863, 136.6095368,076-249-8270,,http://www.albis.co.jp/,10:00〜22:00　土日祝日は9:00開店,年始1月2日より年中無休,
co100185,ofid0008,アルビス　辰口店,923-1243,石川県能美市三ツ屋町3-1,,36.4514435,136.5460939,0761-51-7316,0761-51-8035,http://www.albis.co.jp/,10:00〜22:00,年始１月２日より年中無休,
co100185,ofid0013,アルビス　野々市三納店,921-8825,石川県野々市市三納20街区1,,36.5178202,136.6105142,076-246-3800,076-246-3802,http://www.albis.co.jp/,10:00〜24:00,年始１月２日より年中無休,
co100185,ofid0007,アルビス　野々市中央店,921-8821,石川県野々市市白山町438,,36.5286771,136.6127857,076-227-0850,076-227-0851,http://www.albis.co.jp/,10:00〜22:00,年始１月２日より年中無休,
co100185,ofid0016,アルビス　高柳店,920-0005,石川県金沢市高柳町ニ字63-1,,36.5923267, 136.6613758,076-251-2100,,http://www.albis.co.jp/,10：00〜22：00,年始１月２日より年中無休,
co100010,ofid0007,アルペン　小松沖町店,923-0861,石川県小松市沖町５街区１,,36.3966118, 136.4626604,0761-24-2060,0761-24-2061,http://www.alpen-group.jp,10:00〜21:00,なし,
co100581,ofid0001,アル・プラザ鹿島 　ZIGZAG,929-1721,石川県鹿島郡中能登町井田と１−１,アル・プラザ鹿島内,36.9695753,136.9080376,0767-76-2341,,,10:00〜21:00,無休,
co101126,ofid0001,アロマクラブジャパン　イオン松任店,924-0841,石川県白山市平松町102-1,,36.5072307, 136.5651722,076-275-3664,,,10:00〜21:00,年中無休,
co100886,ofid0001,アンド・わかでん,920-0059,石川県金沢市示野町イ２９番地１,,36.5779446, 136.6119271,076-267-2238,076-267-3558,http://www.hi-ho.ne.jp/wakaden-co,9：00〜19：30,毎週日曜日、祝日　年末年始,
co593777,ofid0001,アーク引越センター北陸,921-8001,石川県金沢市高畠3-237,,36.5726736,136.6103750,076-291-0003,076-292-0793,http://www.0003.co.jp/,８：００〜２１：００,年中無休,
co101223,ofid0001,アール南北不動産株式会社,921-8105,石川県金沢市平和町2丁目24番18号,,36.5396836, 136.6656107,076-243-7316,076-243-7394,http://www.r-nanboku.co.jp,9:00〜18:00,日曜、祭日,
co100188,ofid0008,イオンかほく店,929-1126,石川県かほく市内日角タ25番,,36.7092541,136.7006627,076-289-1000,076-289-1321,http://www.aeon.jp/sc/kahoku/,9：00〜22：00,無し,イオンチアーズクラブの活動
co100188,ofid0003,イオンもりの里店,920-1167,石川県金沢市もりの里1丁目70番地,,36.5514627,136.6899771,076-234-8888,076-234-8831,http://www.aeon.jp/aeon/morinosato/,9:00〜23:00（食品のみ24時間営業）,無し,イオンチアーズクラブの活動
co101248,ofid0001,イオンシネマ御経塚,921-8801,石川県野々市市御経塚2-91,,36.5486843, 136.5983854,076-269-0740,,http://www.aeoncinema.com/cinema/okyozuka/,,年中無休,
co101248,ofid0002,イオンシネマ金沢,920-3126,石川県金沢市福久2-58,,36.6173126, 136.6813872,076-258-7575,,http://www.aeoncinema.com/cinema/kanazawa/,,年中無休,
co100188,ofid0007,イオン加賀の里店,922-0013,石川県加賀市上河崎町47-1,,36.3065720,136.3469441,0761-72-8800,0761-72-8888,http://www.aeon.jp/aeon/kaganosato/,9:00〜22:00（食品のみ24時間営業）,無し,イオンチアーズクラブの活動
co100188,ofid0006,イオン小松店,923-0036,石川県小松市平面町ア69,,36.4192223,136.4725604,0761-23-6000,0761-23-6006,http://www.aeon.jp/aeon/komatsu/,9:00〜23:00（食品のみ24時間営業）,無し,イオンチアーズクラブの活動
co100188,ofid0002,イオン御経塚店,921-8801,石川県野々市市御経塚2-91,,36.5484779,136.5986886,076-269-0130,076-269-0131,http://www.aeon.jp/aeon/okyozuka/,食品売場9:00〜23:00　その他の売場9:00〜22:00,無休（都合により臨時休業させていただく場合があります）,イオンチアーズクラブの活動
co100188,ofid0005,イオン松任店,924-0841,石川県白山市平松町102-1,,36.5080381,136.5661342,076-274-8600,076-274-8611,http://www.aeon.jp/aeon/matto/,9:00〜22:00（食品のみ9:00〜23:00迄営業）,無し,イオンチアーズクラブの活動
co100188,ofid0004,イオン野々市南店,921-8835,石川県野々市市上林4-747,,36.5021407,136.6055021,076-246-8121,076-246-8238,http://www.aeon.jp/aeon/nonoichiminami/,9:00〜22:00（食品のみ24時間営業）,無休（都合により臨時休業させていただく場合があります）　,イオンチアーズクラブの活動
co100188,ofid0001,イオン金沢店,920-3126,石川県金沢市福久2丁目58番地,,36.6172997,136.6813858,076-258-7588,076-258-7500,http://www.aeon.jp/aeon/kanazawa/,9：00〜22：00（但し専門店と一部売場は異なります）,無休（都合により臨時休業させていただく場合があります）,イオンチアーズクラブの活動
co100189,ofid0001,イケダカラー,929-1721,石川県鹿島郡中能登町井田と１−１,アル・プラザ鹿島内,36.9692859, 136.9070822,0767-76-2325,0767-76-2325,,10:00〜21:00,無休,
co432764,ofid0001,イタリアン・カフェ　こだま,927-1213,石川県珠洲市野々江町サ部104番地1,,37.4444606,137.2726310,0768-82-0525,,https://m.facebook.com/pages/イタリアンカフェこだま/901774086533601,11時〜22時,水曜日（祝日営業）,
co100673,ofid0002,イタリアン・トマトカフェJr,929-1721,石川県鹿島郡中能登町井田と1-1,アル・プラザ鹿島1階,36.9697932, 136.9077733,0767-76-2338,,,10:00〜21:00,年中無休,
co100676,ofid0001,イタリア厨房　ピソリーノ,920-0057,石川県金沢市桜田町サ145-1,,36.5800444, 136.6190236,076-231-2828,076-231-2868,http://www.mochimochi-pizza.com,11:00〜24:00　LO23:00,無休（但し1月1日は休み）,
co101255,ofid0001,イタリア料理shigezo,925-0141,石川県羽咋郡志賀町高浜町34-1,,37.0040147, 136.7715524,0767-32-3714,0767-32-3714,http://www.t-shigezo.com/,11:00〜14:00　17:00〜22:00(LO21:30),月曜（月曜が祝,祭日の場合火曜休み）,
co100890,ofid0001,イタリア料理　れんが亭,920-0046,石川県金沢市大和町1-1,金沢市民芸術村内,36.5680116,136.6401386,076-263-3113,076-263-7226,http://www.kanazawa.co.jp/rengatei,11:30〜22:00（LO.21:00）,なし,
co100092,ofid0001,イワイ家具,929-1215,石川県かほく市高松ソ13番地,,36.771228,136.7159795,076-281-0123,076-281-0162,,9:00〜20:00,第1・第3水曜日,
co101485,ofid0001,イワモト　カメラ,920-0863,石川県金沢市玉川町14-12,,36.5725044, 136.6505967,076-262-7825,,,ＡＭ８：００〜ＰＭ８：００,毎週日曜日,
co100026,ofid0001,インテリア・アート　たからや,921-8162,石川県金沢市三馬2丁目305番地,,36.5304063, 136.6336717,076-247-0505,076-247-0572,http://www.k-takaraya.jp/,9:00〜19:00,年末、年始,
co437205,ofid0001,インド＆パキスタン料理　AZAAN（アザーン）,921-8005,石川県金沢市間明町1-237,,36.5664656,136.6163593,076-220-6838,076-220-6838,http://azaan.jp/,11：30〜15：00（LO.14：30）、17：00〜22：00（LO.21：30）,不定期,
co100818,ofid0001,ウィッシュホーム　（株）北製材所,923-0313,石川県小松市津波倉町レ１番地,,36.3379181, 136.4459842,0120-65-1229,0761-65-1759,http://www.wh1229.com,8:30〜19:00,お盆、年末、年始,
co708818,ofid0002,ウイルフラップ株式会社 野々市支店【しごとの窓口】,921-8801,石川県野々市市御経塚２−１４９ ２F,,36.5481552,136.5972187,076-255-7776,076-259-5387,http://www.wfrp.co.jp/,９時００分〜１８時００分,土、日、祝,
co708818,ofid0001,ウイルフラップ株式会社 金沢本社,920-0062,石川県金沢市割出町６４−７−２,アルプ第２ビル,36.602647,136.637048,076-237-8891,076-237-0707,http://www.wfrp.co.jp/,９時００分〜１８時００分,土、日、祝,
co100311,ofid0001,ウイング　まるきた,923-1121,石川県能美市寺井町ウ15番地,,36.4390561,136.4921289,0761-57-3711,,,9:30〜19:00,毎週水曜日,
co100025,ofid0001,ウイング　モモサカ店,920-3131,石川県金沢市百坂町二２５番地,モモサカプラザ内,36.60768425,136.6853285,076-257-2595,076-257-6766,,10:00〜19:00,第１・第３水曜日,
co101498,ofid0001,ウイングたかだや,927-0400,石川県鳳珠郡能登町字宇出津新港２−７,ショッピングタウンアルプ内,37.2987496, 137.1462195,0768-62-4811,0768-62-0956,,10時00分から19時00分,1月1日（元旦）のみ,
co101437,ofid0001,ウイングのとや,925-0141,石川県羽咋郡志賀町高浜町ツ8-1,,37.006376,136.777049,0767-32-1141,0767-32-2661,,9:30〜19:00,第２、第３水曜日,
co101280,ofid0001,ウイング小松店,923-0301,石川県小松市矢崎町ル181-1,,36.3684372, 136.4337239,0761-43-0226,0761-43-0221,http://www.wing-rev.co.jp/,11:00〜20:00,毎週水曜日、年末年始,
co100402,ofid0002,ウェルピア倉見,929-0455,石川県河北郡津幡町倉見ソ1番地,,36.6767988, 136.7603357,076-288-2100,076-288-2189,http://www2.spacelan.ne.jp/~welpia,9:00〜21:00（入浴は10:15〜21:00）,毎週水曜日、年末年始,
co100202,ofid0001,ウエダ理容室,921-8802,石川県野々市市押野5丁目252-3,,36.541949, 136.6210114,076-294-6667,076-294-6667,http://ueda-hc.sun.ddns.vc/,火〜金9:00〜19:00　土・日・祝8:00〜19:00,毎週月曜日、第１・第３月・火曜日,
co101346,ofid0003,ウエルシア七尾和倉店,926-0171,石川県七尾市石崎町タ16-1,,37.0764687, 136.9240370,0767-62-8381,0767-62-1281,http://www.welcia-yakkyoku.co.jp/,9：00〜24:00,元旦,
co101346,ofid0002,ウエルシア加賀作見店,922-0423,石川県加賀市作見町ハ112,,36.3191831,136.3564877,0761-75-7066,0761-75-7064,http://www.welcia-yakkyoku.co.jp/,9:00〜24:00,元旦,
co101346,ofid0001,ウエルシア珠洲野々江店,927-1213,石川県珠洲市野々江町サ-96-1,,37.4433548, 137.2729073,0768-82-8281,0768-82-7281,http://www.welcia-yakkyoku.co.jp/,9:00〜24:00,元旦,
co101346,ofid0009,ウエルシア白山鶴来店,920-2155,石川県白山市知気寺町60-1,,36.4810538, 136.6029554,076-273-2372,076-273-2373,http://www.welcia-yakkyoku.co.jp/,9：00〜0：00,年中無休,
co101346,ofid0005,ウエルシア能美寺井店,923-1121,石川県能美市寺井町ハ112,,36.4436847,136.4952959,0761-46-6400,,http://www.welcia-yakkyoku.co.jp/,9：00〜24：00,元旦,
co101346,ofid0006,ウエルシア野々市御経塚店,921-8801,石川県野々市市御経塚1-537,,36.5464954,136.5946384,076-246-2850,076-246-2851,http://www.welcia-yakkyoku.co.jp/,9：00〜24：00,なし,
co101346,ofid0007,ウエルシア金沢三池店,920-0809,石川県金沢市三池栄町312,,36.5972294,136.6704242,076-252-7212,,http://www.welcia-yakkyoku.co.jp/,9：00〜24：00,なし,
co101346,ofid0008,ウエルシア金沢大桑店,921-8045,石川県金沢市大桑2丁目47番地,,36.5382897,136.6742793,076-201-1577,,http://www.welcia-yakkyoku.co.jp/,9：00〜24：00,年中無休,
co101346,ofid0004,ウエルシア金沢有松店,921-8161,石川県金沢市有松4-13-13,,36.5385004,136.6359493,076-259-1131,076-259-1141,http://www.welcia-yakkyoku.co.jp/,9:00〜24:00,元旦,
co101008,ofid0001,エアシフト,928-0003,石川県輪島市塚田町2-14番地,,37.3940292, 136.9145885,0768-22-1595,0768-22-9848,http://www.satoya-g.com/as,8:00〜18:00,第2土曜日、日曜日,
co100207,ofid0001,エステック不動産投資顧問（株）,921-8013,石川県金沢市新神田5丁目５番地,,36.56407361,136.627264,076-291-5750,076-291-5763,http://www.estec-inc.jp,9:00〜18：00,毎週土曜日、日曜日、祝日、年末年始,
co101488,ofid0001,エステティック　ＪＯＹ,920-0863,石川県金沢市玉川町12-7,,36.5734099, 136.6507272,076-223-0907,076-223-0918,,ＡＭ１０：００〜ＰＭ５：３０,月曜日　第１、第３火曜日,
co100146,ofid0001,エステール　アル・プラザ鹿島店,929-1721,石川県鹿島郡中能登町井田と１−１,アル・プラザ鹿島内,36.9692859, 136.9070822,0767-76-2340,,http://www.estelle.co.jp,10:00〜21:00,無休,
co100209,ofid0001,エムおあしす,920-0964,石川県金沢市本多町3-1-28,,36.5608755, 136.6597299,076-231-0869,076-222-9231,,8:00〜20:00,なし,
co101184,ofid0001,エルシェーる,920-0935,石川県金沢市石引1丁目5-38,,36.5556983, 136.6704988,076-265-5032,076-265-5032,,10:00〜19:00,毎週火曜日、第3月曜日,
co101184,ofid0002,エルミュー,920-0855,石川県金沢市武蔵町16-2,,36.5722879, 136.6543659,076-224-0248,076-224-0248,,10:00〜19:00,毎週火曜日、第3月曜日,
co101413,ofid0001,エンジェル保育園,921-8815,石川県野々市市本町6-22-1,,36.533433,136.607587,076-248-2888,,http://www.angelhoikuen.com/,（月〜金）7:15~19:00　（土）7:15~18:00,日・祝日,
co100854,ofid0001,エース自動車,925-0148,石川県羽咋郡志賀町長沢ロー6-1,,36.994869, 136.776433,0767-32-0444,0767-32-2483,,8:30〜19:00,毎週日曜日、祝日,
co100730,ofid0001,オキシー,920-0271,石川県河北郡内灘町字鶴ケ丘2-710,,36.6442641, 136.6445699,076-286-1211,076-286-1150,http://www.oxy-i.com,8:30〜18:00,日、祝日,
co100220,ofid0001,オッペン化粧品　中島店,929-2222,石川県七尾市中島町中島４-６番地,,37.1237249, 136.8482527,0767-66-0377,0767-66-1360,,11:00〜16:00,毎週日曜日、年始,
co101012,ofid0001,オレンジハウス,921-8805,石川県野々市市稲荷4-41,,36.536894, 136.6019633,076-294-1010,076-246-1089,,9:00〜18:00,日・祝日、お盆、正月,
co101404,ofid0004,オンラインゼミ　こども英会話,920-0031,石川県金沢市広岡３−１−２５,ＹＳビル４Ｆ,36.5802893, 136.6454690,076-200-6958,076-260-5857,http://www.onlinezemi.com/,9時30分から22時00分,毎週日・月曜日、お盆、年末、年始,
co101404,ofid0002,オンラインゼミ　小学・中学・高校講座,920-0031,石川県金沢市広岡３−１−２５,ＹＳビル４Ｆ,36.5802893, 136.6454690,076-200-6958,076-260-5857,http://www.onlinezemi.com/,9時30分から22時00分,毎週日・月曜日、お盆、年末、年始,
co101404,ofid0003,オンラインゼミ　総合英語講座,920-0031,石川県金沢市広岡３−１−２５,ＹＳビル４Ｆ,36.5802893, 136.6454690,076-200-6958,076-260-5857,http://www.onlinezemi.com/,9時30分から22時00分,毎週日・月曜日、お盆、年末、年始,
co100792,ofid0001,オーシャンドリーム,924-0817,石川県白山市幸明町293-1,,36.5184461, 136.5769655,076-274-3686,076-274-3687,http://www.ocean-dream.jp/,9:00〜20:00,毎週日曜日、年末年始,
co100214,ofid0002,オートバックス　七尾店,926-0816,石川県七尾市藤橋町戌-17,,37.0390573, 136.9538551,0767-53-3535,0767-53-2557,http://ab-waki.com/company,10:00〜19:30,年間2〜3日,
co100214,ofid0008,オートバックス　加賀店,922-0424,石川県加賀市小菅波町2-1,,36.3170457, 136.3466624,0761-72-8989,0761-72-6410,http://ab-waki.com/company,10:00〜19:30,年間2〜3日,
co100214,ofid0007,オートバックス　小松店,923-0861,石川県小松市沖町イ201,,36.3964822, 136.4568620,0761-24-4848,0761-24-4847,http://ab-waki.com/company,10:00〜19:30,年間2〜3日,
co100214,ofid0001,オートバックス　輪島店,928-0024,石川県輪島市山岸町ロ2,,37.3820525, 136.9093229,0768-22-5560,0768-22-5309,http://ab-waki.com/company,10:00〜19:30,年間2〜3日,
co100214,ofid0005,オートバックス　金沢入江店,921-8011,石川県金沢市入江3-18,,36.5665155, 136.6226709,076-291-8686,076-291-3454,http://ab-waki.com/company,10:00〜19:30,年間2〜3日,
co100214,ofid0006,オートバックス　金沢大学通り店,920-1167,石川県金沢市もりの里3-188,,36.5615504, 136.6811258,076-231-6969,076-231-4343,http://ab-waki.com/company,10:00〜19:30,年間2〜3日,
co101369,ofid0001,オードリー歯科,920-1167,石川県金沢市もりの里２丁目１０２番地,,36.5526902,136.6875030,076-260-6480,076-260-6487,,午前 9：30〜13：00　　午後 14：30〜19：00（水曜午後休診）,毎週水曜日午後、日曜日、祝日、年末年始,
co406949,ofid0001,カイロプラクティック ぱーす,924-0022,石川県白山市相木町54街区9番,エルジーノ１０２号,36.5282717,136.5652245,076-227-9072,076-227-9072,,9:00〜21:00（受付20:00まで）,,
co100631,ofid0001,カイロプラクティック折橋治療院,921-8161,石川県金沢市有松5-10-30,,36.5386498, 136.6369491,076-242-6380,076-242-6380,http://www3.ocn.ne.jp/~orihashi/index2.html,9:15〜11:30 14:00〜19:00（予約制・土曜は午前のみ）,日曜、祝日、土曜日午後,
co101362,ofid0001,カイロプラクティックＳＡＱＵＡ,922-0101,石川県加賀市山中温泉中田町ニ19-2,,36.2694406, 136.3561158,0761-78-5331,,http://www.saqua.jp,10時から最終予約時間20時,不定休,
co100586,ofid0001,カウイン牛勝,929-1721,石川県鹿島郡中能登町井田と１−１,アル・プラザ鹿島内,36.9699481,136.9079035,0767-76-2304,0767-76-2304,,10:00〜21:00,無休,
co100095,ofid0001,カオス,921-8802,石川県野々市市押野4丁目36番地,,36.5387022, 136.6192590,076-294-2233,076-294-2247,http://www.car-os.jp,10:00〜20:00,なし,
co100280,ofid0003,カジマート　みなみ店,929-0325,石川県河北郡津幡町加賀爪ホ218番地,,36.6687379, 136.7351575,076-288-3980,076-288-3305,http://www.kajimart.com/,9:00〜21:30,元日,
co100280,ofid0005,カジマート　北安江店,920-0022,石川県金沢市北安江４丁目７番３号,,36.5861524, 136.6450327,076-262-5155,076-262-5165,http://www.kajimart.com/,10:00〜23:00,元日,
co100280,ofid0002,カジマート　太田店,929-0345,石川県河北郡津幡町太田は101-1,,36.6548114, 136.7211514,076-288-3600,076-288-3604,http://www.kajimart.com/,9:00〜21:30,1月元日・2日,
co100280,ofid0004,カジマート　桜田店,920-0057,石川県金沢市桜田町2丁目5番地,,36.5777586, 136.6201651,076-261-3800,076-261-4005,http://www.kajimart.com/,9:00〜21:30,元日,
co100280,ofid0001,カジマート　高松インター店,929-1215,石川県かほく市高松ア7-2,,36.7619347, 136.7171574,076-281-3741,076-281-3743,http://www.kajimart.com/,9:00〜21:30,元日,
